Picture,Common Name,Scientific Name,Family,Last Seen,Random Comments,location
![](birdspics/pheasant_tailed_jacana_2507.JPG),Pheasant-tailed Jacana 水雉 ![](pixelart/pheasanttailedjacana_s.png),*hydrophasianus chirurgus*,Shorebirds,"July '25, Suzhou Jiangsu",dubbed 'fairy on the waves',CN
![](birdspics/common_snipe_2512.JPG),Common Snipe 扇尾沙锥,*gallinago gallinago*,Shorebirds,"Dec '25, Suzhou Jiangsu","like to stand closely to the ridges to hide, very shy",CN
![](birdspics/wilson_s_snipe_2501.JPG),Wilson's Snipe 美洲沙锥 ![](pixelart/wilsonssnipe_s.png),*gallinago delicata*,Shorebirds,"Jan '25, Cambridge MD",NA,US
![](birdspics/marsh_sandpiper_2512.jpg),Marsh Sandpiper 泽鹬,*tringa stagnatilis*,Shorebirds,"Dec '25, Suzhou Jiangsu",NA,CN
![](birdspics/spotted_redshank_2512.jpg),Spotted Redshank 鹤鹬,*tringa erythropus*,Shorebirds,"Dec '25, Suzhou Jiangsu",NA,CN
![](birdspics/greater_yellowlegs_2510.JPG),Greater Yellowlegs 大黄脚鹬 ![](pixelart/greateryellowlegs_s.png),*tringa melanoleuca*,Shorebirds,"Oct '25, West Lafayette IN",almost the size of a mallard,US
![](birdspics/lesser_yellowlegs_2504.JPG),Lesser Yellowlegs 小黄脚鹬 ![](pixelart/lesseryellowlegs_s.png),*tringa flavipes*,Shorebirds,"Apr '25, Cambridge MD",long bill and long legs,US
![](birdspics/dunlin_2504.JPG),Dunlin 黑腹滨鹬 ![](pixelart/dunlin_s.png),*calidris alpina*,Shorebirds,"Apr '25, Cambridge MD",medium sized shorebird with a distinguishable black belly when breeding,US
![](birdspics/least_sandpiper_2504.JPG),Least Sandpiper 美洲小滨鹬 ![](pixelart/leastsandpiper_s.png),*calidris minutilla*,Shorebirds,"Apr '25, Cambridge MD","very small, appear in flocks",US
![](birdspics/sandhill_crane_2511.JPG),Sandhill Crane 沙丘鹤 ![](pixelart/sandhillcrane_s.png),*antigone canadensis*,Cranes,"Nov '25, Pulaski IN",loud!!!!,US
![](birdspics/black_crowned_night_heron_2507.JPG),Black-Crowned Night Heron 夜鹭 ![](pixelart/blackcrownednightheron_s.png),*nycticorax nycticorax*,"Herons, Ibis, and allies","Dec '25, Suzhou Jiangsu",countless near Suzhou River,"US, CN"
![](birdspics/green_heron_2505.jpeg),Green Heron 美洲绿鹭 ![](pixelart/greenheron_s.png),*butorides virescens*,"Herons, Ibis, and allies","May '25, Baltimore MD",hiding in reeds,US
![](birdspics/gray_heron_1907.jpg),Gray Heron 苍鹭 ![](pixelart/grayheron_s.png),*ardea cinerea*,"Herons, Ibis, and allies","Dec '25, Suzhou Jiangsu",NA,"CN, JP"
![](birdspics/great_blue_heron_2403.JPG),Great Blue Heron 大蓝鹭 ![](pixelart/greatblueheron_s.png),*ardea herodias*,"Herons, Ibis, and allies","Nov '25, West Lafayette IN",kinda everywhere,US
![](birdspics/snowy_egret_2506.jpg),Snowy Egret 雪鹭 ![](pixelart/snowyegret_s.png),*egretta thula*,"Herons, Ibis, and allies","June '25, Malibu CA",catching fish in the waves,US
![](birdspics/little_egret_2512.jpg),Little Egret 白鹭 ![](pixelart/littleegret_s.png),*egretta garzetta*,"Herons, Ibis, and allies","Dec '25, Suzhou Jiangsu",NA,CN
![](birdspics/great_egret_2203.JPG),Great Egret 大白鹭 ![](pixelart/greategret_s.png),*ardea alba*,"Herons, Ibis, and allies","Dec '25, Suzhou Jiangsu",NA,"US, CN"
NA,Eastern Cattle Egret 牛背鹭 ![](pixelart/easterncattleegret_s.png),*ardea coromanda*,"Herons, Ibis, and allies","June '25, Suzhou Jiangsu",NA,CN
![](birdspics/eurasian_moorhen_2507.jpg),Eurasian Moorhen 黑水鸡 ![](pixelart/eurasianmoorhen_s.png),*gallinula chloropus*,"Rails, Gallinules, and allies","Dec '25, Suzhou Jiangsu",symbol of DKU community!,CN
![](birdspics/eurasian_coot_2507.jpg),Eurasian Coot 骨顶鸡 ![](pixelart/eurasiancoot_s.png),*fulica atra*,"Rails, Gallinules, and allies","Dec '25, Suzhou Jiangsu",NA,CN
NA,American Coot 美洲骨顶 ![](pixelart/americancoot_s.png),*fulica americana*,"Rails, Gallinules, and allies","Apr '25, West Lafayette IN",NA,US
,White-breasted Waterhen 白胸苦恶鸟,*amaurornis phoenicurus*,"Rails, Gallinules, and allies","Jan '26, Suzhou Jiangsu","suprisingly small, cutie pie with long, long toes",CN
![](birdspics/turkey_2505.jpg),Turkey 火鸡 ![](pixelart/wildturkey_s.png),*meleagris gallopavo*,"Grouse, Quail, and Allies","May '25, New York NY",Named 'Roosey',CN
![](birdspics/rock_pigeon_2309.JPG),Rock Pigeon 岩鸽 ![](pixelart/rockpigeon_s.png),*columbia livia*,Pigeons and Doves,"Oct '24, Baltimore MD",NYC pigeons are horribly fat,US
![](birdspics/spotted_dove_2011.jpeg),Spotted Dove 珠颈斑鸠 ![](pixelart/spotteddove_s.png),*spilopelia chinensis*,Pigeons and Doves,"Dec '25, Suzhou Jiangsu",dubbed 'the most delicious friend of hawks',CN
![](birdspics/oriental_turtle_dove_2302.JPG),Oriental Turtle-Dove 山斑鸠 ![](pixelart/orientalturtledove_s.png),*streptopelia orientalis*,Pigeons and Doves,"Feb '23, Suzhou Jiangsu",bronze feathers compared to spotted dove,CN
,Eurasian Collared-Dove灰斑鸠,*streptopelia decaocto*,Pigeons and Doves,"Jan '26, Suzhou Jiangsu",large and pale,CN
![](birdspics/mourning_dove_2503.JPG),Mourning Dove 哀鸽 ![](pixelart/mourningdove_s.png),*zenaida macroura*,Pigeons and Doves,"Mar '25, Baltimore MD",NA,US
![](birdspics/turkey_vulture_2403.JPG),Turkey Vulture 红头美洲鹫 ![](pixelart/turkeyvulture_s.png),*cathartes aura*,"Vultures, Hawks, and Allies","Oct '25, West Lafayette IN",if you go on a road trip they are always there,US
![](birdspics/osprey_2504.JPG),Osprey 鱼鹰 ![](pixelart/osprey_s.png),*pandion haliaetus*,"Vultures, Hawks, and Allies","Apr '25, Cambridge MD",somehow chasing a seagull,US
![](birdspics/coopers_hawk_2511.JPG),Cooper's Hawk 库柏鹰 ![](pixelart/coopershawk_s.png),*accipiter cooperii*,"Vultures, Hawks, and Allies","Nov '25, West Lafayette IN",small cutie,US
![](birdspics/bald_eagle_2504.JPG),Bald Eagle 白头海雕 ![](pixelart/baldeagle_s.png),*haliaeetus leucocephalus*,"Vultures, Hawks, and Allies","Jan '25, Cambridge MD",can be differentiated from turkey vulture while flying by their white tails,US
![](birdspics/red_tailed_hawk_2201.jpg),Red-tailed Hawk 红尾𫛭 ![](pixelart/redtailedhawk_s.png),*buteo jamaicensis*,"Vultures, Hawks, and Allies","Aug '25, Indianapolis IN",NA,US
![](birdspics/eurasian_hobby_2507.JPG),Eurasian Hobby 燕隼 ![](pixelart/eurasianhobby_s.png),*falco subbuteo*,Flacons,"July '25, Beijing",NA,CN
![](birdspics/common_swift_2507.JPG),Common Swift 普通雨燕 ![](pixelart/commonswift_s.png),*apus apus*,Swifts,"July '25, Beijing",THE famous birds at Beijing Central Axis,CN
![](birdspics/tree_swallow_2504.JPG),Tree Swallow 双色树燕 ![](pixelart/treeswallow_s.png),*tachycineta bicolor*,Martins and Swallows,"Apr '25, Cambridge MD","small, bright blue under sunlight, white belly",US
![](birdspics/barn_swallow_2507.jpg),Barn Swallow 家燕 ![](pixelart/barnswallow_s.png),*hirundo rustica*,Martins and Swallows,"July '25, Beijing",longer tail,"US, CN"
![](birdspics/northern_rough_winged_swallow_2503.JPG),Northern Rough-winged Swallow 中北美毛翅燕 ![](pixelart/northernroughwingedswallow_s.png),*stelgidopteryx serripennis*,Martins and Swallows,"Apr '25, Baltimore MD","small, fly very fast, chasing insects near water",US
![](birdspics/eurasian_crag_martin_2306.jpg),Eurasian Crag-Martin 岩燕 ![](pixelart/eurasiancragmartin_s.png),*ptyonoprogne rupestris*,Martins and Swallows,"June '23, Datong Shanxi",NA,CN
![](birdspics/red_rumped_swallow_2507.JPG),Red-rumped Swallow 金腰燕 ![](pixelart/redrumpedswallow_s.png),*cecropis daurica*,Martins and Swallows,"July '25, Suzhou Jiangsu",NA,CN
NA,Common Cuckoo 大杜鹃 ![](pixelart/commoncuckoo_s.png),*cuculus canorus*,Cuckoos,"July '25, Beijing",singing *Cuckoo* endlessly. Chinese people refer it as 布谷 which literally translate as 'sowing seeds',CN
![](birdspics/common_kingfisher_2507.jpg),Common Kingfisher 普通翠鸟 ![](pixelart/commonkingfisher_s.png),*alcedo atthis*,Kingfishers,"Dec '25, Suzhou Jiangsu",very shy,CN
NA,Belted Kingfisher 白腹鱼狗 ![](pixelart/beltedkingfisher_s.png),*megaceryle alcyon*,Kingfishers,"Nov '25, West Lafayette IN",suprisingly large,US
![](birdspics/eurasian_hoopoe_2512.JPG),Eurasian Hoopoe 戴胜 ![](pixelart/eurasianhoopoe_s.png),*upupa epops*,Hoopoes,"Apr '23, Suzhou Jiangsu",NA,CN
![](birdspics/yellow_bellied_sapsucker_2503.JPG),Yellow-bellied Sapsucker 黄腹吸汁啄木鸟 ![](pixelart/yellowbelliedsapsucker_s.png),*sphyrapicus varius*,Woodpeckers,"Mar '25, Baltimore MD",dead due to bird strike,US
![](birdspics/red_bellied_woodpecker_2510.JPG),Red-bellied Woodpecker 红腹啄木鸟 ![](pixelart/redbelliedwoodpecker_s.png),*melanerpes carolinus*,Woodpeckers,"Nov '25, West Lafayette IN",NA,US
![](birdspics/grey_headed_woodpecker_2507.jpg),Grey-headed Woodpecker 灰头绿啄木鸟 ![](pixelart/greyheadedwoodpecker_s.png),*picus canus*,Woodpeckers,"July '25, Beijing",NA,CN
![](birdspics/downy_woodpecker_2501.JPG),Downy Woodpecker 绒啄木鸟 ![](pixelart/downywoodpecker_s.png),*dryobates pubescens*,Woodpeckers,"Jan '25, Cambridge MD",very small,US
![](birdspics/hairy_woodpecker_2510.JPG),Hairy Woodpecker 毛啄木鸟 ![](pixelart/hairywoodpecker_s.png),*leuconotopicus villosus*,Woodpeckers,"Oct '25, West Lafayette IN",NA,US
![](birdspics/northern_flicker_2510.JPG),Northern Flicker 北扑翅䴕 ![](pixelart/northernflicker_s.png),*colaptes auratus*,Woodpeckers,"Nov '25, West Lafayette IN",dark grey patch on chest,US
![](birdspics/pileated_woodpecker_2511.JPG),Pileated Woodpecker 北美黑啄木鸟 ![](pixelart/pileatedwoodpecker_s.png),*dryocopus pileatus*,Woodpeckers,"Nov '25, West Lafayette IN",strikingly big,US
![](birdspics/blue_jay_2505.jpg),Blue Jay 冠蓝鸦  ![](pixelart/bluejay_s.png),*cyanocitta cristata*,"Jays, Magpies, Crows, Ravens","May '25, Annapolis MD",only heard them singing. never seen with eyes,US
![](birdspics/red_billed_blue_magpie_2303.JPG),Red-billed Blue-Magpie 红嘴蓝鹊 ![](pixelart/redbilledbluemagpie_s.png),*urocissa erythroryncha*,"Jays, Magpies, Crows, Ravens","Mar '23, Lijiang Yunnan",NA,CN
![](birdspics/azure_winged_magpie_2507.jpg),Azure-winged Magpie 灰喜鹊 ![](pixelart/azurewingedmagpie_s.png),*cyanopica cyanus*,"Jays, Magpies, Crows, Ravens","July '25, Suzhou Jiangsu","Very common in northern China, esp. Shandong, Beijing",CN
![](birdspics/common_magpie_2507.jpg),Oriental Magpie 喜鹊 ![](pixelart/orientalmagpie_s.png),*pica serica*,"Jays, Magpies, Crows, Ravens","Dec '25, Suzhou Jiangsu",same as above,CN
![](birdspics/american_crow_2407.jpg),American Crow 短嘴鸦 ![](pixelart/americancrow_s.png),*corvus brachyrhynchos*,"Jays, Magpies, Crows, Ravens","Jan '25, Baltimore MD",NA,US
![](birdspics/fish_crow_2502.jpeg),Fish Crow 鱼鸦 ![](pixelart/fishcrow_s.png),*corvus ossifragus*,"Jays, Magpies, Crows, Ravens","Apr '25, Baltimore MD","song is a reluctant 'uh-uh'. sits on trees of Baltimore in flocks in evenings, esp. from Nov to Feb",US
![](birdspics/large_billed_crow_2303.JPG),Large-billed Crow 大嘴乌鸦 ![](pixelart/largebilledcrow_s.png),*corvus macrohynchos*,"Jays, Magpies, Crows, Ravens","Mar '23, Lijiang Yunnan",NA,CN
![](birdspics/carrion_crow_2507.jpg),Carrion Crow 小嘴乌鸦 ![](pixelart/carrioncrow_s.png),*corvus corone*,"Jays, Magpies, Crows, Ravens","July '25, Beijing",most common crow in Beijing city,CN
![](birdspics/common_raven_2506.jpg),Common Raven 渡鸦 ![](pixelart/commonraven_s.png),*corvus corax*,"Jays, Magpies, Crows, Ravens","June '25, Malibu CA","'quoth the raven, nevermore' - quoth someone who died in Baltimore.",US
![](birdspics/black_phoebe_2506.jpg),Black Phoebe 黑长尾霸鹟 ![](pixelart/blackphoebe_s.png),*sayornis nigricans*,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies","June '25, Malibu CA",NA,US
![](birdspics/eastern_phoebe_2511.jpg),Eastern Phoebe 东菲比霸鹟 ![](pixelart/easternphoebe_s.png),*sayornis phoebe*,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies","Nov '25, West Lafayette IN",slightly yellow on sides,US
![](birdspics/oriental_magpie_robin_2507.JPG),Oriental Magpie-Robin 鹊鸲 ![](pixelart/orientalmagpierobin_s.png),*copsychus saularis*,Old World Flycathers,"Dec '25, Suzhou Jiangsu","very common in Eastern China, sings beautifully",CN
,Verditer Flycatcher 铜蓝鹟,*eumyias thalassinus*,Old World Flycathers,"Jan '26, Suzhou Jiangsu","not common in Suzhou, but I saw it",CN
![](birdspics/daurian_redstart_2512.jpg),Daurian Redstart 北红尾鸲,*phoenicurus auroreus*,Old World Flycathers,"Dec '25, Suzhou Jiangsu",cute orange bird,CN
![](birdspics/long_tailed_shrike_2302.jpg),Long-tailed Shrike 棕背伯劳 ![](pixelart/longtailedshrike_s.png),*lanius schach*,Shrikes,"Dec '25, Suzhou Jiangsu",'butcher bird' - in me the tiger sniffs the plum blossoms,CN
![](birdspics/gray_catbird_2406.JPG),Gray Catbird 灰猫嘲鸫 ![](pixelart/graycatbird_s.png),*dumetella carolinensis*,"Catbirds, Mockingbirds, and Thrashers","May '25, Annapolis MD","little gray bird, usually seen in the evening",US
![](birdspics/brown_thrasher_2505.JPeG),Brown Thrasher 褐矢嘲鸫 ![](pixelart/brownthrasher_s.png),*toxostoma rufum*,"Catbirds, Mockingbirds, and Thrashers","May '25, Athens GA",NA,US
![](birdspics/northern_mockingbird_2501.JPG),Northern Mockingbird 北嘲鸫 ![](pixelart/northernmockingbird_s.png),*mimus polyglottos*,"Catbirds, Mockingbirds, and Thrashers","Apr '25, Cambridge MD",NA,US
![](birdspics/eastern_bluebird_2203.jpg),Eastern Bluebird 东蓝鸲 ![](pixelart/easternbluebird_s.png),*sialia sialis*,Thrushes,"Nov '25, West Lafayette IN",NA,US
![](birdspics/western_bluebird_2506.jpg),Western Bluebird 西蓝鸲 ![](pixelart/westernbluebird_s.png),*sialia mexicana*,Thrushes,"June '25, Los Angeles CA",NA,US
![](birdspics/hermit_thrush_2501.JPG),Hermit Thrush 隐夜鸫 ![](pixelart/hermitthrush_s.png),*catharus guttatus*,Thrushes,"Jan '25, Cambridge MD",NA,US
![](birdspics/american_robin_2503.jpg),American Robin 旅鸫 ![](pixelart/americanrobin_s.png),*turdus migratorius*,Thrushes,"Nov '25, West Lafayette IN","appear in large flocks, arrive in early spring, have a beautiful song",US
![](birdspics/chinese_blackbird_2506.jpg),Chinese Blackbird 乌鸫 ![](pixelart/chineseblackbird_s.png),*turdus mandarinus*,Thurshes,"Dec '25, Suzhou Jiangsu","black version robin, so cute!! Eats earthworm after rain",CN
![](birdspics/dusky_thrush_2303.jpg),Dusky Thrush 斑鸫 ![](pixelart/duskythrush_s.png),*turdus eunomus*,Thurshes,"Dec '25, Suzhou Jiangsu",NA,US
,Pale Thrush 白腹鸫,*turdus pallidus*,Thurshes,"Jan '26, Suzhou Jiangsu",NA,CN
![](birdspics/light_vented_bulbul_2507.jpg),Light-vented Bulbul 白头鹎 ![](pixelart/lightventedbulbul_s.png),*pycnonotus sinensis*,Bulbuls,"Dec '25, Suzhou Jiangsu",very distinguishable singing pattern,CN
![](birdspics/white_browed_laughingthrush_2007.JPG),White-browed Laughingthrush 白颊噪鹛 ![](pixelart/whitethroatedlaughingthrush_s),*pterohinus sannio*,Laughingthrushes and allies,"July '20, Chengdu Sichuan",NA,CN
![](birdspics/Vinous_Throated_Parrotbill_2507.JPG),Vinous-Throated Parrotbill 棕头鸦雀 ![](pixelart/vinousthroatedparrotbill_s.png),*suthora webbiana*,Parrotbills,"July '25, Beijing",small & cute,CN
,Silver-throated Tit 银喉长尾山雀,*aegithalos glaucogularis*,Long-tailed Tits and Bushtits,"Jan '26, Suzhou Jiangsu","very, very small",CN
![](birdspics/carolina_chickadee_2203.jpg),Carolina Chickadee 卡罗莱纳山雀 ![](pixelart/carolinachickadee_s.png),*poecile carolinensis*,"Tits, Chickadees, and Titmice","Mar '22, Durham NC",NA,US
![](birdspics/tufted_titmouse_2504.JPG),Tufted Titmouse 美洲凤头山雀 ![](pixelart/tuftedtitmouse_s.png),*baeolophus bicolor*,"Tits, Chickadees, and Titmice","Oct '25, West Lafayette IN",small round fluffy ball,US
![](birdspics/white_breasted_nuthatch_2203.jpg),White-breasted Nuthatch 白胸䴓 ![](pixelart/whitebreastednuthatch_s.png),*sitta carolinensis*,Nuthatches,"Nov '25, West Lafayette IN",NA,US
![](birdspics/carolina_wren_2501.JPG),Carolina Wren 卡罗苇鹪鹩 ![](pixelart/carolinawren_s.png),*thryothorus ludovicianus*,Wrens,"Jan '25, Cambridge MD",NA,US
![](birdspics/oriental_reed_warbler_2507.JPG),Oriental Reed Warbler 东方大苇莺 ![](pixelart/orientalreedwarbler_s.png),*acrocephalus orientalis*,Warblers,"July '25, Beijing",have a noisy song,CN
![](birdspics/ruby_crowned_kinglet_2203.jpg),Ruby-crowned Kinglet 红冠戴菊 ![](pixelart/rubycrownedkinglet_s.png),*corthylio calendula*,Kinglets,"Mar '22, Durham NC",NA,US
![](birdspics/ovenbird_2510.JPeG),Ovenbird 灯顶灶莺 ![](pixelart/ovenbird_s.png),*seiurus aurocapilla*,Wood-Warblers,"Oct '25, West Lafayette IN",dead due to bird strike,US
![](birdspics/tennessee_warbler_2510.JPG),Tennessee Warbler 灰冠虫森莺 ![](pixelart/tennesseewarbler_s.png),*leiothlypis peregrina*,Wood-Warblers,"Oct '25, West Lafayette IN",actually really hard to ID so not sure,US
![](birdspics/yellow_rumped_warbler_2511.JPG),Yellow-rumped Warbler 黄腰白喉林莺 ![](pixelart/yellowrumpedwarbler_s.png),*setophaga auduboni*,Wood-Warblers,"Nov '25, West Lafayette IN",NA,US
NA,Grey Wagtail 灰鹡鸰,*motacilla cinerea*,Wagtails and Pipits,"Dec '25, Suzhou Jiangsu","although called 'grey wagtail', its most distinguishable feature is its yellow belly",CN
![](birdspics/white_wagtail_2512.JPG),White Wagtail 白鹡鸰 ![](pixelart/whitewagtail_s.png),*motacilla alba*,Wagtails and Pipits,"Dec '25, Suzhou Jiangsu","tail wags endlessly, and flies in 'sine function'",CN
![](birdspics/olive_backed_pipit_2512.JPG),Olive-backed Pipit 树鹨,*anthus hodgsoni*,Wagtails and Pipits,"Dec '25, Suzhou Jiangsu",pipits are winter birds in Suzhou,CN
![](birdspics/richards_pipit_2512.JPG),Richard's Pipit 理氏鹨,*anthus richardi*,Wagtails and Pipits,"Dec '25, Suzhou Jiangsu",NA,CN
